n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
346,264,554,997,925,4,727,172,5,179.39,48.68,51.47999999999998
663,319,123,558,113,498,805,732,615,151.93,24.87,24.439999999999998
495,538,77,533,251,421,867,300,365,146.11,25.83,27.59999999999999
234,785,184,884,641,1,692,54,624,146.45,25.48,26.440000000000005
929,320,557,934,930,478,801,933,581,156.4,23.97,24.880000000000006
312,959,888,518,805,451,627,632,452,158.95,29.52,30.439999999999987
401,144,257,789,611,370,677,348,136,152.36,21.49,21.919999999999998
443,84,620,147,691,828,637,181,292,175.78,34.6,37.47999999999999
923,962,380,202,589,812,358,691,635,134.59,21.37,22.080000000000002
904,95,78,412,661,958,925,183,337,171.04,27.94,28.0
669,380,334,178,307,904,23,618,20,182.55,39.76,40.31999999999999
536,972,772,849,90,820,367,826,832,152.97,27.28,29.559999999999985
976,100,162,186,598,507,676,587,960,163.34,24.45,26.599999999999994
78,778,947,991,119,176,667,490,691,143.97,19.69,20.48
907,763,227,632,805,851,676,310,873,144.49,24.52,24.2
950,704,415,902,613,243,918,501,720,118.52,21.76,22.16
226,317,376,235,763,334,550,641,542,160.0,32.13,32.59999999999999
462,920,822,409,518,410,992,837,320,135.11,23.34,23.28
290,448,421,602,13,257,188,918,553,173.01,33.28,32.88
469,709,574,629,845,373,413,973,397,162.1,30.22,27.799999999999997
638,28,159,523,69,469,997,988,645,164.05,36.17,37.35999999999999
942,355,618,815,319,932,93,773,264,149.89,25.24,25.479999999999993
495,227,655,950,488,913,618,796,67,139.58,20.27,20.240000000000002
152,946,244,70,306,135,970,48,167,177.88,29.89,30.000000000000007
407,809,595,697,635,560,730,982,551,119.46,19.02,19.16
268,18,536,251,161,769,99,210,32,180.58,38.96,45.03999999999998
972,324,83,124,277,62,899,658,295,177.6,38.33,39.16
624,911,646,718,176,748,152,670,424,151.41,29.0,28.799999999999986
975,133,899,726,736,83,573,373,710,144.13,26.94,28.719999999999988
2,741,901,565,159,514,421,157,220,169.97,35.09,37.79999999999998
864,305,495,519,69,384,172,167,895,166.53,25.27,25.720000000000002
911,262,527,400,550,698,310,882,410,148.93,27.09,26.79999999999999
336,174,396,63,433,28,285,897,692,171.1,33.9,35.4
19,311,983,808,156,87,160,118,868,184.31,31.52,31.320000000000004
623,843,15,237,236,566,8,488,932,167.68,38.32,37.52
735,545,189,906,845,463,749,723,890,139.97,26.75,27.039999999999996
943,699,959,714,388,344,867,176,853,141.61,26.44,26.959999999999983
543,601,192,109,486,634,924,933,365,170.69,30.25,36.99999999999998
312,952,662,851,918,423,614,755,38,147.59,24.29,24.91999999999999
840,647,217,261,592,878,821,677,605,150.69,21.04,22.520000000000003
314,803,917,488,640,853,347,826,854,155.76,20.24,22.319999999999997
85,913,241,914,323,904,106,674,998,145.58,25.48,25.4
715,39,619,330,539,487,978,361,950,167.78,27.59,28.12
83,181,730,44,510,531,558,847,612,169.28,38.29,35.47999999999999
728,255,39,205,692,73,344,800,616,165.65,35.67,37.8
930,141,713,315,119,519,910,846,844,152.88,24.59,25.760000000000005
521,859,0,73,864,231,638,280,637,190.08,47.39,53.119999999999976
977,18,911,750,996,35,10,489,714,185.21,48.69,51.359999999999985
148,218,368,255,911,756,766,353,835,144.46,31.15,29.319999999999993
