n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
960,509,873,603,63,941,197,141.66,18.65,19.640000000000004
158,970,275,628,15,432,825,151.77,24.29,26.679999999999993
801,819,833,537,503,77,480,157.22,27.66,27.39999999999999
237,102,379,370,985,148,697,133.58,22.54,21.839999999999993
640,249,621,325,147,38,643,184.03,27.1,27.04
684,99,731,107,46,661,489,170.62,23.06,25.560000000000002
473,741,921,70,644,31,718,136.49,18.96,20.160000000000004
564,130,631,852,946,85,164,136.28,18.68,19.52
632,646,933,271,929,858,914,133.71,14.28,15.640000000000002
669,462,511,710,20,810,652,140.69,21.4,23.11999999999999
140,837,966,193,930,956,451,149.32,20.63,26.63999999999999
490,797,450,457,571,283,488,125.6,19.31,18.95999999999999
729,593,65,851,819,298,372,122.91,18.74,18.960000000000004
292,368,962,34,85,514,878,153.54,26.07,23.4
282,286,280,989,484,441,454,149.57,25.43,26.119999999999987
944,380,32,730,87,255,835,143.62,21.87,22.240000000000002
619,653,244,548,763,33,756,144.84,25.15,26.799999999999986
177,344,379,32,53,974,757,164.66,29.05,27.12
783,769,972,214,717,443,351,148.91,23.95,24.679999999999996
906,79,161,749,692,116,409,156.74,22.9,23.96
560,138,475,760,506,654,76,117.42,16.18,16.320000000000004
131,75,358,532,31,190,538,148.76,26.17,26.799999999999986
725,153,188,288,756,154,519,123.14,18.25,18.12
582,870,397,815,228,967,226,127.51,16.54,16.320000000000004
712,577,732,932,128,429,707,128.87,16.56,16.16
167,775,324,246,574,586,4,171.43,36.35,37.199999999999996
805,824,582,395,192,778,333,137.08,20.51,21.319999999999993
875,390,538,451,9,407,865,173.88,37.86,40.55999999999998
543,564,870,677,139,733,239,106.38,18.62,18.119999999999994
660,556,824,760,381,278,682,102.55,17.62,18.12
189,995,152,168,706,640,137,146.92,22.09,22.439999999999998
393,76,62,12,40,483,777,159.16,35.54,35.319999999999986
60,117,666,728,553,102,689,155.88,27.09,27.559999999999995
376,609,32,61,555,230,805,144.13,23.9,24.720000000000002
416,230,781,578,704,944,973,136.16,17.46,18.040000000000003
300,94,482,79,741,587,884,144.2,25.45,26.559999999999988
60,172,915,677,448,122,981,135.08,18.21,17.8
114,718,182,51,700,941,31,148.27,23.69,24.040000000000003
768,860,692,746,435,666,725,130.82,15.69,16.52
293,261,454,237,206,835,879,140.18,18.37,18.4
669,797,548,806,660,219,284,122.04,17.01,17.200000000000003
606,13,261,539,809,749,762,156.35,23.99,25.000000000000004
997,992,725,892,700,338,795,123.39,19.22,20.119999999999994
529,95,598,609,660,33,370,144.4,26.59,26.679999999999993
375,707,119,231,971,781,28,140.43,26.21,26.23999999999999
369,943,708,970,348,446,702,114.39,19.98,19.51999999999999
852,994,52,352,142,31,10,191.33,36.72,37.79999999999999
344,69,496,2,474,848,270,151.83,26.63,26.599999999999994
89,693,604,630,279,235,135,158.92,27.96,27.639999999999986
128,429,558,186,248,678,393,136.41,21.21,21.000000000000004
608,439,577,529,641,850,491,133.0,20.48,21.039999999999992
950,276,259,140,306,909,33,147.47,28.64,26.039999999999992
197,776,459,107,827,180,589,127.71,18.76,18.76
111,970,950,828,2,525,164,157.88,25.37,28.83999999999999
122,155,606,402,485,497,882,129.87,15.34,15.800000000000004
890,543,785,710,554,831,814,153.94,19.15,20.43999999999999
481,220,862,659,920,397,158,136.93,19.58,19.64
788,941,469,890,932,875,10,160.4,23.74,26.599999999999994
345,427,257,327,136,292,379,151.42,22.47,22.720000000000002
602,875,694,371,228,5,798,156.64,24.69,26.359999999999992
312,180,84,417,637,635,786,149.45,25.57,25.159999999999997
237,948,657,91,198,389,421,132.0,18.18,18.6
128,771,932,935,857,151,532,126.92,18.88,19.760000000000005
