n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
209,243,735,924,382,0,358,415,974,285,876,191.66,51.27,55.59999999999999
419,887,117,705,851,560,382,987,36,563,628,164.44,31.85,31.640000000000004
308,97,302,558,524,347,973,594,300,981,360,175.19,29.53,32.07999999999999
838,132,429,419,832,577,657,551,378,478,145,141.18,28.9,27.68
160,610,391,577,488,980,203,991,136,623,93,173.09,31.68,33.239999999999995
359,840,914,677,0,391,110,333,579,938,629,189.36,47.45,50.11999999999999
552,144,333,644,897,912,577,384,439,442,231,148.21,25.41,25.760000000000005
505,298,491,995,725,388,393,984,875,935,162,135.78,22.81,23.0
610,608,266,758,308,508,257,425,20,326,967,183.76,42.03,52.91999999999996
314,503,951,293,146,488,24,124,675,636,983,180.48,36.53,37.32
454,251,300,40,800,139,846,401,13,491,545,174.04,36.21,36.84
573,280,249,957,485,800,37,251,501,274,864,152.9,28.45,32.03999999999999
158,738,292,300,504,622,486,530,660,884,618,162.16,32.31,34.639999999999986
901,761,916,121,16,778,129,307,289,546,725,165.75,34.95,33.080000000000005
344,628,303,748,542,27,475,358,369,698,762,177.27,37.05,38.76
832,604,135,37,2,258,566,466,702,938,110,179.92,33.04,34.75999999999999
909,703,558,195,14,439,797,826,437,609,589,164.87,37.03,37.36000000000001
705,725,976,647,664,493,879,933,861,394,487,146.07,24.26,24.4
401,698,872,736,201,920,303,476,849,776,67,156.3,31.41,30.83999999999999
310,856,3,711,797,443,596,293,663,799,483,187.22,64.95,67.60000000000005
932,318,146,169,489,711,562,910,509,996,338,177.25,31.61,31.559999999999995
550,157,435,599,554,831,49,70,750,235,273,181.21,37.31,39.79999999999999
839,87,810,64,679,964,26,341,739,439,70,180.32,36.06,35.36000000000001
414,718,498,50,126,862,125,224,629,661,844,168.04,31.69,32.559999999999995
975,113,729,916,137,299,722,940,448,153,187,141.95,29.08,29.32
625,189,423,821,165,68,637,218,44,568,110,164.03,38.76,39.11999999999998
676,388,763,73,286,58,584,589,121,760,408,190.85,41.05,46.519999999999975
899,638,137,10,442,93,322,701,614,501,501,190.58,41.4,47.11999999999999
361,961,671,383,936,57,141,714,301,154,582,158.25,26.47,28.479999999999997
646,694,517,297,932,964,568,563,635,225,269,151.4,29.19,27.39999999999999
64,564,241,260,852,768,290,529,998,136,827,166.66,32.34,32.36000000000001
240,884,380,464,754,398,183,134,730,19,670,185.17,42.62,46.59999999999999
349,87,586,683,36,93,884,127,518,608,464,189.34,39.21,41.51999999999999
244,399,897,473,491,986,331,110,815,543,30,178.0,37.72,36.239999999999995
555,742,393,54,868,154,967,974,439,697,813,164.63,28.48,28.320000000000007
228,767,118,85,996,933,681,503,840,216,143,163.81,29.83,30.839999999999996
718,639,384,362,855,240,296,341,952,628,722,149.91,30.51,28.47999999999999
357,815,395,387,139,740,851,366,663,303,823,146.78,26.14,25.919999999999995
646,443,984,872,370,529,37,606,587,220,757,164.44,30.76,30.599999999999994
184,405,64,99,37,33,190,207,200,40,501,182.91,44.09,44.83999999999999
910,959,492,677,778,356,0,437,481,307,911,189.05,51.6,56.55999999999997
957,634,943,438,331,476,472,102,196,158,669,177.84,35.44,37.67999999999998
162,72,383,889,394,889,901,480,155,565,260,158.52,31.36,33.879999999999995
112,284,838,165,768,293,688,240,33,493,917,187.32,39.01,42.59999999999999
32,352,946,770,377,323,960,60,704,22,689,183.31,38.97,40.6
467,483,869,968,159,120,804,684,332,298,464,154.31,28.92,27.92
690,245,746,167,34,205,731,25,588,236,672,186.0,35.66,35.760000000000005
80,632,410,933,996,723,372,696,319,188,479,166.7,30.72,31.960000000000004
370,289,68,749,735,479,167,794,246,179,688,181.87,33.42,34.80000000000001
213,963,44,661,623,440,743,998,277,6,473,192.18,51.88,54.11999999999999
62,463,797,697,420,173,46,34,561,855,857,188.68,39.48,38.08
531,578,358,962,96,733,72,242,920,822,502,166.62,34.91,35.03999999999999
94,958,482,55,699,249,659,51,509,406,800,175.86,36.55,35.52
61,49,261,853,417,456,313,655,52,896,38,183.86,40.96,41.43999999999998
972,994,199,183,712,520,655,412,192,544,239,180.49,35.71,37.67999999999998
86,949,321,809,110,88,554,943,165,612,77,171.69,30.33,31.16
877,747,219,639,17,451,552,366,498,433,585,183.27,38.48,39.23999999999999
786,385,534,640,135,743,12,934,774,314,705,193.65,36.49,38.36
459,912,846,229,567,118,142,319,494,89,798,163.91,31.32,31.679999999999996
790,269,839,412,320,135,132,549,83,482,250,171.92,37.7,39.479999999999976
713,86,817,438,990,590,682,251,282,62,504,174.75,32.29,36.95999999999998
717,254,49,720,204,815,292,903,382,906,100,170.43,36.2,37.239999999999995
