n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
816,711,528,461,228,536,664,31,404,154.69,28.02,30.599999999999987
691,589,822,328,675,646,436,60,755,150.76,24.49,25.639999999999997
305,128,991,217,896,48,313,72,879,168.69,28.1,30.279999999999994
78,317,939,961,305,761,162,426,578,146.97,27.09,28.079999999999988
258,133,8,574,899,870,38,604,839,164.44,34.04,34.39999999999999
222,985,922,583,471,175,847,888,890,146.98,21.34,21.36
997,798,720,637,521,38,387,205,355,165.43,27.21,27.68
101,210,587,690,918,443,605,198,504,150.09,30.86,32.83999999999999
106,960,681,399,303,516,511,17,333,167.19,29.98,30.6
626,892,411,921,288,18,160,205,878,177.07,37.13,38.079999999999984
335,830,576,801,138,347,439,218,272,140.82,25.03,24.720000000000006
690,98,857,388,954,560,352,936,903,127.33,18.61,18.92
857,703,547,496,786,545,240,66,742,145.63,24.29,26.599999999999994
41,86,136,173,170,932,551,218,274,180.39,28.57,30.799999999999994
777,340,614,518,861,261,376,346,348,115.61,19.22,19.92
116,298,240,888,966,618,798,977,732,141.99,23.62,24.599999999999998
908,500,138,593,564,788,106,328,40,156.29,24.89,26.759999999999994
416,74,389,886,807,150,848,128,349,165.9,33.13,35.039999999999985
117,629,601,800,948,387,78,584,563,143.58,28.49,27.720000000000002
229,579,83,975,273,373,912,302,577,138.94,22.36,22.4
547,947,117,468,918,283,110,805,46,164.65,29.59,30.680000000000003
847,302,12,628,686,14,93,423,117,197.5,46.93,50.55999999999998
845,906,808,40,192,245,804,600,431,179.92,35.67,37.51999999999998
165,118,461,171,697,247,162,761,865,145.22,24.4,23.88
105,445,932,987,387,825,993,555,931,165.98,25.44,25.239999999999995
837,301,563,259,728,488,322,102,212,160.46,31.08,30.959999999999994
667,325,40,27,10,805,947,302,743,187.59,45.88,47.43999999999999
610,327,460,400,320,408,64,65,935,176.84,29.38,31.759999999999994
324,993,615,993,466,114,256,220,803,160.87,21.17,24.000000000000004
632,796,912,555,888,704,480,677,364,131.35,19.05,19.800000000000004
265,187,554,212,314,203,252,369,83,170.53,29.51,30.720000000000002
839,287,91,771,458,92,667,588,658,163.58,25.62,25.959999999999994
347,963,232,399,989,314,42,335,191,161.22,30.29,28.919999999999998
324,811,867,592,914,943,310,251,342,144.48,21.87,21.760000000000005
103,557,626,592,826,610,94,250,225,150.17,28.25,27.56
20,827,249,411,74,274,564,888,72,181.49,40.27,41.15999999999998
746,76,22,650,10,297,768,811,367,184.2,43.04,46.71999999999998
505,480,883,879,157,103,513,796,814,158.26,28.11,29.719999999999985
335,78,521,972,681,177,183,794,153,167.77,34.76,36.15999999999999
144,841,886,327,312,109,726,526,854,155.59,26.79,28.479999999999986
941,616,300,129,915,211,145,558,932,148.55,22.6,22.479999999999997
739,32,798,323,840,924,638,823,688,152.71,27.52,29.119999999999994
928,566,860,966,764,706,210,182,306,136.56,24.75,25.039999999999996
443,550,161,49,731,882,683,253,258,176.36,31.02,33.39999999999999
796,65,698,986,457,827,440,562,256,159.65,28.56,27.87999999999999
554,449,871,550,464,11,405,856,346,178.87,35.5,36.719999999999985
175,264,497,24,812,661,955,426,999,150.96,24.46,24.680000000000003
584,19,63,708,363,593,141,607,128,182.51,36.93,39.51999999999999
141,265,848,283,407,577,410,176,627,155.63,27.38,26.36
91,239,497,7,181,541,324,512,914,183.1,42.03,42.79999999999999
664,942,448,952,702,654,748,231,244,144.39,23.64,23.719999999999995
320,506,703,490,979,230,729,422,345,160.48,24.67,26.96
573,625,928,745,939,669,281,995,661,107.23,17.88,17.360000000000003
224,49,943,73,781,523,660,898,377,154.92,29.69,32.43999999999999
163,523,784,811,904,208,319,305,709,162.77,21.95,22.64
306,869,565,380,169,718,718,754,475,154.39,18.88,20.64
608,87,876,126,918,620,983,526,584,153.97,28.34,27.599999999999994
386,180,159,256,436,222,964,583,736,152.88,30.22,31.039999999999992
775,801,53,506,697,403,734,652,356,173.48,28.86,29.28000000000001
393,527,865,168,557,747,41,536,92,148.27,31.37,32.91999999999998
827,261,643,103,273,754,934,85,982,149.29,28.89,29.59999999999999
998,142,992,794,631,862,990,675,703,127.52,19.45,18.76
717,83,455,871,946,246,994,871,391,143.49,21.74,23.080000000000002
962,821,925,443,406,168,931,333,448,151.97,24.83,25.879999999999992
129,637,930,499,982,217,122,441,615,147.2,25.46,26.119999999999994
