n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
469,890,932,875,10,345,427,257,327,136,292,185.38,42.14,43.59999999999999
379,602,875,694,371,228,5,798,312,180,84,182.64,42.02,41.83999999999999
417,637,635,786,237,948,657,91,198,389,421,157.12,29.95,30.36
128,771,932,935,857,151,532,951,976,51,532,167.66,28.24,31.360000000000007
537,795,991,499,943,373,904,336,861,729,605,143.72,24.23,23.599999999999994
399,888,279,665,679,816,990,68,267,134,42,194.8,37.3,39.23999999999999
112,603,617,626,736,158,839,517,518,116,801,184.97,39.17,38.040000000000006
704,783,797,990,88,88,852,680,773,127,221,167.38,27.59,34.24
359,346,162,996,745,838,938,250,179,988,188,158.4,27.05,27.400000000000006
230,643,128,880,490,756,949,468,637,113,743,184.14,34.5,35.43999999999998
628,139,466,994,823,201,585,380,751,148,994,150.51,23.39,27.039999999999996
340,641,269,933,69,280,770,1,62,903,670,172.43,34.59,34.759999999999984
30,491,645,466,325,62,11,281,913,738,103,197.67,50.14,55.519999999999975
393,956,638,344,104,755,855,879,382,145,852,161.17,34.37,36.719999999999985
773,150,379,683,780,480,761,414,806,19,968,188.72,31.63,32.04
544,910,858,154,106,456,382,12,914,965,992,191.28,36.02,36.559999999999995
130,694,564,491,271,72,489,123,408,721,203,181.67,33.28,36.39999999999999
813,556,998,882,174,448,338,261,820,554,793,164.32,26.42,27.640000000000004
354,301,557,705,905,279,463,569,904,735,787,164.31,31.06,31.599999999999998
46,512,764,255,677,636,994,3,539,899,837,194.41,67.52,70.92000000000004
507,570,549,260,174,864,36,328,14,879,214,203.43,55.94,58.59999999999999
584,311,195,157,284,59,279,744,309,719,903,170.34,35.74,35.679999999999986
383,222,724,745,175,608,2,92,834,896,847,164.47,31.69,34.95999999999999
365,590,189,358,187,488,946,654,226,487,393,165.23,29.4,29.159999999999997
911,560,637,367,125,671,751,89,994,440,55,176.8,37.38,41.67999999999997
598,912,633,208,623,449,275,224,653,995,57,168.14,27.93,28.04
494,678,659,515,857,539,258,533,272,655,993,156.72,26.34,25.880000000000003
369,307,805,436,766,379,96,783,558,424,917,157.02,31.41,30.43999999999999
658,166,960,284,62,665,516,325,837,679,519,160.98,33.15,34.79999999999999
58,80,680,114,62,449,440,546,92,180,702,194.2,40.74,42.12
269,360,1,64,272,732,316,354,397,413,607,177.66,30.98,31.879999999999992
720,873,852,734,79,758,117,289,820,507,457,176.18,35.3,36.12
744,263,915,317,246,785,15,943,52,793,527,176.97,43.12,46.039999999999985
554,893,389,157,224,802,301,656,667,884,762,170.01,27.98,28.839999999999996
922,12,109,269,812,984,138,572,121,31,408,181.74,46.47,52.31999999999997
263,500,217,71,745,282,782,179,911,138,157,183.41,41.84,47.43999999999997
101,875,24,812,222,609,335,913,429,920,711,176.87,28.35,30.48
486,626,586,499,462,330,987,629,464,197,819,150.77,24.16,24.24
181,544,115,226,685,841,142,400,228,601,360,174.49,30.35,30.84
476,577,788,663,281,606,858,610,875,197,583,141.93,22.36,22.48
