n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
174,325,556,27,193,216,728,373,674,918,140,193.5,40.3,41.52
966,640,87,345,998,457,985,621,613,779,963,150.95,27.75,28.799999999999997
904,686,751,394,216,713,554,789,343,77,19,188.14,35.75,35.76
685,565,431,481,232,887,744,331,782,853,818,148.53,28.33,30.319999999999986
526,514,101,474,734,3,291,939,546,210,73,190.75,65.54,67.56000000000006
229,11,943,322,43,93,152,336,167,710,98,185.84,46.85,48.07999999999999
521,843,808,413,664,859,404,398,909,600,518,172.33,33.34,32.839999999999996
889,138,520,706,365,367,969,276,206,328,936,152.31,30.23,30.279999999999994
394,580,186,818,627,795,889,182,584,175,9,183.48,47.54,49.79999999999999
313,700,908,20,285,490,535,886,772,693,437,181.54,42.25,42.519999999999975
930,772,95,279,291,147,529,462,490,696,237,180.1,33.54,33.71999999999999
183,338,150,766,694,355,761,615,52,558,285,176.03,35.09,34.11999999999999
951,352,26,592,190,550,797,973,685,780,98,165.25,30.85,32.84
464,137,348,215,765,556,137,924,432,221,527,155.36,28.23,32.88
207,859,702,582,433,10,866,568,50,958,792,181.96,38.13,38.23999999999999
732,363,508,381,62,381,827,817,408,907,474,169.38,36.91,46.479999999999976
447,647,744,987,195,569,101,939,170,987,601,177.89,25.76,29.640000000000008
86,912,363,266,909,253,785,480,992,538,190,160.5,26.46,28.43999999999999
779,543,12,955,678,552,343,686,228,998,177,178.69,40.7,45.43999999999998
28,57,733,874,600,595,993,205,673,852,346,173.6,38.07,38.43999999999998
290,724,132,338,304,405,36,78,415,841,798,186.28,42.02,42.719999999999985
251,464,475,987,711,42,321,177,859,147,904,163.07,30.91,30.679999999999993
588,728,204,652,683,814,535,946,594,390,865,165.01,29.27,30.07999999999999
775,808,906,944,513,155,851,388,33,983,406,169.02,31.92,33.79999999999999
143,292,426,493,766,185,856,868,681,651,631,163.38,24.21,24.799999999999997
96,524,987,510,532,267,259,382,627,790,972,179.49,33.83,37.07999999999999
870,355,549,14,202,756,60,662,541,474,318,172.03,45.33,45.43999999999998
953,871,105,211,881,15,202,475,737,126,260,178.37,38.12,38.68
317,302,230,11,182,684,651,424,958,278,378,185.51,37.99,41.47999999999998
965,653,356,330,572,937,164,566,696,29,136,168.73,35.08,33.6
759,995,214,91,48,215,19,264,860,904,726,181.97,39.85,41.12
449,366,361,570,791,722,928,77,96,722,418,177.1,35.13,40.479999999999976
725,436,964,180,60,248,586,159,520,586,866,159.86,27.97,31.36000000000001
431,372,719,678,196,918,655,357,740,527,528,151.43,29.1,29.439999999999998
915,418,34,165,997,558,320,283,468,297,294,180.71,32.38,33.879999999999995
446,816,545,433,765,778,106,58,901,367,840,179.92,33.48,34.35999999999998
745,696,674,228,422,265,373,462,383,66,976,169.02,26.87,26.92
826,417,520,976,747,187,65,663,121,817,733,174.82,29.05,28.44
659,330,433,506,19,316,445,80,399,265,967,185.57,40.92,43.16
199,996,598,979,482,172,622,30,247,299,727,167.18,37.04,37.79999999999999
8,531,121,607,591,5,205,451,625,104,389,193.82,49.2,53.11999999999998
518,280,707,992,908,190,995,903,75,539,537,154.92,26.48,28.51999999999999
678,315,147,880,762,431,910,186,202,312,484,155.01,32.4,33.44
291,668,747,486,826,770,517,659,978,321,697,137.42,22.79,22.280000000000005
518,791,881,474,59,604,544,649,726,488,840,158.5,25.51,25.76
90,83,417,772,796,861,741,345,75,814,489,158.82,31.8,31.720000000000002
166,601,975,545,624,153,662,500,714,422,548,158.72,28.49,28.080000000000005
508,962,119,591,521,12,720,291,448,718,597,187.12,39.14,41.83999999999998
81,880,988,583,715,271,783,570,173,282,6,193.58,52.47,56.59999999999998
864,894,337,523,754,452,905,530,975,786,381,169.3,34.33,34.16
331,791,179,165,712,324,712,724,326,338,488,159.78,26.54,30.359999999999996
