n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
972,324,83,124,277,62,899,658,295,624,911,182.61,40.88,47.27999999999999
646,718,176,748,152,670,424,975,133,899,726,176.6,30.53,32.19999999999999
736,83,573,373,710,2,741,901,565,159,514,191.89,40.1,43.63999999999998
421,157,220,864,305,495,519,69,384,172,167,165.22,32.21,33.79999999999999
895,911,262,527,400,550,698,310,882,410,336,179.91,31.1,31.879999999999992
174,396,63,433,28,285,897,692,19,311,983,196.18,45.45,47.160000000000004
808,156,87,160,118,868,623,843,15,237,236,179.74,35.48,38.35999999999999
566,8,488,932,735,545,189,906,845,463,749,180.59,36.69,38.72
723,890,943,699,959,714,388,344,867,176,853,171.93,31.52,31.719999999999985
543,601,192,109,486,634,924,933,365,312,952,163.12,33.3,40.39999999999998
662,851,918,423,614,755,38,840,647,217,261,170.07,31.43,33.559999999999995
592,878,821,677,605,314,803,917,488,640,853,152.93,27.08,27.159999999999993
347,826,854,85,913,241,914,323,904,106,674,158.97,30.37,29.32
998,715,39,619,330,539,487,978,361,950,83,171.83,33.46,33.760000000000005
181,730,44,510,531,558,847,612,728,255,39,188.17,42.85,44.27999999999999
205,692,73,344,800,616,930,141,713,315,119,187.56,36.47,39.60000000000001
519,910,846,844,521,859,0,73,864,231,638,181.2,52.42,54.43999999999998
280,637,977,18,911,750,996,35,10,489,714,192.05,52.77,59.15999999999997
148,218,368,255,911,756,766,353,835,305,878,169.02,32.64,33.67999999999999
397,647,619,412,34,177,422,505,998,65,772,169.69,31.18,33.04
522,883,521,305,573,707,289,807,212,721,720,159.48,26.59,28.560000000000002
447,329,179,219,18,490,908,447,954,995,282,177.46,43.68,48.799999999999976
339,773,930,416,972,642,949,862,419,328,768,171.48,29.58,30.32
634,215,262,286,523,88,30,412,269,623,294,188.35,45.2,46.47999999999998
691,936,656,135,627,776,320,88,957,801,169,174.13,35.29,36.559999999999995
635,94,717,216,956,955,259,684,221,911,657,169.77,33.68,35.399999999999984
511,782,116,660,348,8,466,583,208,170,95,178.25,39.16,40.88000000000001
250,531,863,97,116,816,994,323,303,890,580,167.59,37.36,37.11999999999999
595,676,154,928,764,77,677,867,183,920,735,170.16,32.41,32.79999999999999
764,27,774,785,820,185,692,211,269,35,607,180.12,41.89,40.83999999999999
332,646,336,753,788,621,864,373,166,175,773,156.69,27.61,27.200000000000003
220,50,979,54,974,164,700,962,951,58,689,184.71,41.1,41.239999999999995
925,268,721,943,684,686,863,505,106,867,204,143.92,24.33,25.08
816,141,401,490,615,559,507,553,331,370,440,152.3,25.03,24.120000000000005
761,415,858,37,776,940,38,185,156,366,224,191.82,35.28,34.080000000000005
303,243,372,587,886,199,961,639,693,352,392,175.12,35.47,37.11999999999998
372,548,725,114,967,229,195,356,189,547,217,158.71,29.64,30.800000000000004
