n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
652,744,54,695,617,29,382,249,899,151.68,26.43,27.880000000000006
469,236,380,842,985,747,586,639,507,131.7,22.14,21.400000000000006
896,248,36,637,611,86,627,48,694,183.13,33.7,35.04
419,416,602,70,82,193,34,622,770,162.2,24.61,25.240000000000002
185,86,66,30,363,639,481,560,548,154.58,26.05,26.12
486,26,720,794,77,341,86,801,329,174.59,31.86,32.800000000000004
8,474,976,459,604,152,999,395,489,166.11,30.08,30.480000000000004
852,141,108,914,357,687,236,462,798,147.69,24.98,25.88
132,196,991,226,111,113,53,122,76,173.26,32.79,34.31999999999999
960,660,999,84,381,106,758,24,478,175.59,34.69,37.00000000000001
641,534,205,378,895,649,83,241,5,166.09,32.62,35.39999999999999
262,781,530,699,202,15,449,259,966,168.87,35.43,36.31999999999998
625,22,983,105,531,819,427,59,920,155.58,29.05,29.320000000000004
257,486,872,322,619,895,225,654,60,150.18,24.03,24.360000000000003
697,281,135,307,39,819,191,998,361,163.28,29.14,30.16
805,923,412,953,7,897,942,309,990,177.79,35.12,37.23999999999999
879,96,30,325,449,253,426,618,329,176.18,33.25,35.52
503,576,355,901,857,913,408,440,213,144.11,25.38,27.27999999999999
80,283,308,472,477,625,946,582,466,138.2,24.39,24.840000000000003
450,394,190,337,411,60,332,94,174,163.34,28.32,28.120000000000005
325,556,27,193,216,728,373,674,918,173.04,32.33,35.120000000000005
140,966,640,87,345,998,457,985,621,143.06,27.02,27.839999999999996
613,779,963,904,686,751,394,216,713,117.56,18.92,19.240000000000002
554,789,343,77,19,685,565,431,481,171.85,35.1,34.39999999999999
232,887,744,331,782,853,818,526,514,146.12,25.6,26.919999999999987
101,474,734,3,291,939,546,210,73,182.91,61.27,63.280000000000065
229,11,943,322,43,93,152,336,167,183.52,41.97,43.11999999999999
710,98,521,843,808,413,664,859,404,157.37,23.96,24.959999999999994
398,909,600,518,889,138,520,706,365,147.2,24.68,26.48
367,969,276,206,328,936,394,580,186,149.9,26.72,28.359999999999985
818,627,795,889,182,584,175,9,313,181.32,40.44,41.03999999999999
700,908,20,285,490,535,886,772,693,186.23,37.78,37.799999999999976
437,930,772,95,279,291,147,529,462,165.46,28.92,28.199999999999996
490,696,237,183,338,150,766,694,355,142.8,26.42,26.679999999999993
761,615,52,558,285,951,352,26,592,173.48,29.46,30.560000000000006
190,550,797,973,685,780,98,464,137,155.37,22.18,23.28
348,215,765,556,137,924,432,221,527,160.77,26.37,27.160000000000007
207,859,702,582,433,10,866,568,50,171.21,33.29,34.75999999999999
958,792,732,363,508,381,62,381,827,154.91,28.28,35.999999999999986
817,408,907,474,447,647,744,987,195,150.76,27.02,27.27999999999999
569,101,939,170,987,601,86,912,363,155.82,22.92,23.8
266,909,253,785,480,992,538,190,779,145.15,22.33,22.839999999999993
543,12,955,678,552,343,686,228,998,164.34,34.83,36.719999999999985
177,28,57,733,874,600,595,993,205,166.22,38.82,37.63999999999998
673,852,346,290,724,132,338,304,405,159.92,29.42,32.11999999999998
36,78,415,841,798,251,464,475,987,158.51,25.6,26.8
711,42,321,177,859,147,904,588,728,144.66,27.3,27.399999999999995
204,652,683,814,535,946,594,390,865,157.55,23.42,25.319999999999993
775,808,906,944,513,155,851,388,33,154.87,31.07,30.559999999999995
983,406,143,292,426,493,766,185,856,123.5,19.47,19.560000000000002
868,681,651,631,96,524,987,510,532,156.25,25.69,27.999999999999996
267,259,382,627,790,972,870,355,549,162.89,23.67,25.08
14,202,756,60,662,541,474,318,953,187.71,40.05,40.47999999999999
871,105,211,881,15,202,475,737,126,175.19,32.81,33.519999999999996
260,317,302,230,11,182,684,651,424,178.92,36.92,37.639999999999986
958,278,378,965,653,356,330,572,937,151.99,21.33,21.72
164,566,696,29,136,759,995,214,91,165.22,30.87,33.08
48,215,19,264,860,904,726,449,366,180.95,31.77,32.640000000000015
361,570,791,722,928,77,96,722,418,149.86,31.06,34.63999999999997
725,436,964,180,60,248,586,159,520,156.32,26.78,27.92000000000001
