n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
916,137,943,735,452,654,221,951,279,153.8,26.29,27.359999999999996
334,162,101,909,243,480,194,770,694,147.96,24.84,24.840000000000003
866,382,189,364,143,814,138,238,275,151.99,23.65,23.12
827,563,648,387,409,827,843,767,350,129.38,19.73,21.080000000000005
287,899,737,948,609,514,594,706,749,152.35,28.47,28.839999999999982
971,328,760,409,769,730,890,721,958,132.01,18.19,18.84
647,771,992,733,298,544,637,652,686,136.66,24.65,24.359999999999992
74,376,315,404,495,178,264,980,922,170.7,28.08,30.799999999999994
362,451,488,89,915,945,190,322,983,164.93,25.81,28.35999999999999
388,130,991,28,106,359,171,367,78,185.02,37.05,35.95999999999998
