n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
711,797,443,596,293,663,799,483,932,146.62,19.04,21.240000000000002
318,146,169,489,711,562,910,509,996,156.71,25.9,26.919999999999995
338,550,157,435,599,554,831,49,70,179.7,30.92,33.19999999999998
750,235,273,839,87,810,64,679,964,147.95,24.3,24.36
26,341,739,439,70,414,718,498,50,179.57,31.15,31.16
126,862,125,224,629,661,844,975,113,146.42,25.11,26.36
729,916,137,299,722,940,448,153,187,150.83,23.36,24.76
625,189,423,821,165,68,637,218,44,164.24,33.03,34.399999999999984
568,110,676,388,763,73,286,58,584,167.41,33.07,37.91999999999997
589,121,760,408,899,638,137,10,442,173.7,40.38,41.719999999999985
93,322,701,614,501,501,361,961,671,152.95,24.68,25.719999999999995
383,936,57,141,714,301,154,582,646,148.38,23.7,24.0
694,517,297,932,964,568,563,635,225,129.02,18.56,19.28
269,64,564,241,260,852,768,290,529,164.47,31.35,31.679999999999996
998,136,827,240,884,380,464,754,398,145.65,25.21,25.479999999999997
183,134,730,19,670,349,87,586,683,179.15,34.59,37.07999999999999
36,93,884,127,518,608,464,244,399,181.41,36.41,38.71999999999999
897,473,491,986,331,110,815,543,30,172.66,28.19,29.879999999999995
555,742,393,54,868,154,967,974,439,160.01,25.27,24.760000000000005
697,813,228,767,118,85,996,933,681,146.55,19.24,19.92
503,840,216,143,718,639,384,362,855,137.69,25.94,24.91999999999999
240,296,341,952,628,722,357,815,395,139.35,25.54,26.199999999999996
387,139,740,851,366,663,303,823,646,142.23,19.45,19.52
443,984,872,370,529,37,606,587,220,160.36,27.31,26.839999999999993
757,184,405,64,99,37,33,190,207,177.56,36.85,36.559999999999995
200,40,501,910,959,492,677,778,356,147.54,30.88,31.599999999999987
0,437,481,307,911,957,634,943,438,176.07,47.38,51.43999999999996
331,476,472,102,196,158,669,162,72,161.08,28.98,31.919999999999987
383,889,394,889,901,480,155,565,260,127.23,20.41,24.160000000000004
112,284,838,165,768,293,688,240,33,176.67,37.0,38.19999999999999
