n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
177,344,379,32,53,974,757,783,769,154.42,32.15,31.720000000000002
972,214,717,443,351,906,79,161,749,171.34,30.49,32.919999999999995
692,116,409,560,138,475,760,506,654,137.23,24.47,24.000000000000007
76,131,75,358,532,31,190,538,725,162.72,29.53,32.27999999999999
153,188,288,756,154,519,582,870,397,152.64,23.81,23.16
815,228,967,226,712,577,732,932,128,144.84,21.61,21.680000000000003
429,707,167,775,324,246,574,586,4,180.32,38.82,41.07999999999999
805,824,582,395,192,778,333,875,390,149.38,23.39,25.23999999999999
538,451,9,407,865,543,564,870,677,178.22,42.77,47.59999999999998
139,733,239,660,556,824,760,381,278,133.97,22.79,23.44
682,189,995,152,168,706,640,137,393,157.3,25.98,26.07999999999999
76,62,12,40,483,777,60,117,666,180.38,43.63,45.99999999999999
728,553,102,689,376,609,32,61,555,175.96,33.33,33.71999999999999
230,805,416,230,781,578,704,944,973,145.96,19.14,23.8
300,94,482,79,741,587,884,60,172,174.63,32.7,33.59999999999999
915,677,448,122,981,114,718,182,51,154.78,24.06,24.240000000000002
700,941,31,768,860,692,746,435,666,141.78,23.17,24.080000000000005
725,293,261,454,237,206,835,879,669,137.28,22.02,22.000000000000004
797,548,806,660,219,284,606,13,261,163.69,30.78,31.92000000000001
539,809,749,762,997,992,725,892,700,153.34,24.58,23.999999999999993
338,795,529,95,598,609,660,33,370,159.48,30.59,31.0
375,707,119,231,971,781,28,369,943,173.55,31.13,30.75999999999999
708,970,348,446,702,852,994,52,352,154.65,29.33,28.43999999999999
142,31,10,344,69,496,2,474,848,189.62,46.72,48.04
270,89,693,604,630,279,235,135,128,168.8,33.94,35.43999999999998
429,558,186,248,678,393,608,439,577,173.8,26.25,26.999999999999993
529,641,850,491,950,276,259,140,306,149.08,24.29,24.64
909,33,197,776,459,107,827,180,589,167.84,28.73,30.159999999999993
111,970,950,828,2,525,164,122,155,182.65,35.42,36.11999999999999
606,402,485,497,882,890,543,785,710,130.1,20.71,20.439999999999994
554,831,814,481,220,862,659,920,397,140.13,21.92,22.84
158,788,941,469,890,932,875,10,345,184.67,34.66,35.43999999999999
427,257,327,136,292,379,602,875,694,152.01,23.48,24.24
371,228,5,798,312,180,84,417,637,180.39,43.3,42.19999999999999
635,786,237,948,657,91,198,389,421,150.57,23.14,22.480000000000004
128,771,932,935,857,151,532,951,976,147.01,22.32,24.240000000000002
51,532,537,795,991,499,943,373,904,137.04,22.9,22.440000000000005
336,861,729,605,399,888,279,665,679,149.94,24.93,24.279999999999994
816,990,68,267,134,42,112,603,617,159.96,29.56,32.04
626,736,158,839,517,518,116,801,704,160.66,32.69,31.32
783,797,990,88,88,852,680,773,127,165.86,23.04,29.440000000000005
221,359,346,162,996,745,838,938,250,144.95,19.99,21.720000000000002
179,988,188,230,643,128,880,490,756,149.65,30.08,27.679999999999993
949,468,637,113,743,628,139,466,994,140.19,26.38,26.159999999999993
823,201,585,380,751,148,994,340,641,132.24,21.47,21.879999999999995
269,933,69,280,770,1,62,903,670,168.84,29.3,30.71999999999999
30,491,645,466,325,62,11,281,913,188.11,42.02,42.83999999999999
738,103,393,956,638,344,104,755,855,177.71,33.02,38.03999999999997
879,382,145,852,773,150,379,683,780,156.02,21.92,22.68
480,761,414,806,19,968,544,910,858,156.1,27.08,27.120000000000005
154,106,456,382,12,914,965,992,130,175.4,33.99,32.39999999999999
694,564,491,271,72,489,123,408,721,157.98,29.25,31.119999999999987
203,813,556,998,882,174,448,338,261,131.53,23.86,23.04
820,554,793,354,301,557,705,905,279,164.05,24.25,25.919999999999998
463,569,904,735,787,46,512,764,255,164.31,28.27,27.880000000000003
677,636,994,3,539,899,837,507,570,183.19,59.27,61.40000000000007
549,260,174,864,36,328,14,879,214,184.99,49.93,49.8
584,311,195,157,284,59,279,744,309,150.63,30.34,31.879999999999985
