n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
182,43,382,471,618,665,801,153.7,24.7,23.960000000000004
554,389,651,820,44,637,907,142.24,27.38,29.519999999999982
441,54,381,642,508,778,719,171.6,26.9,26.759999999999994
322,430,973,710,428,471,18,159.08,28.96,29.039999999999996
250,223,548,276,711,604,73,137.65,19.81,21.599999999999994
822,435,229,436,133,900,28,152.45,30.05,30.919999999999984
958,333,383,992,919,572,809,91.61,13.23,13.719999999999999
891,268,124,475,707,126,961,148.51,17.88,19.36
832,749,678,870,908,542,811,130.71,21.58,18.959999999999994
385,683,111,751,326,577,544,149.5,23.48,23.799999999999986
105,831,601,733,5,484,146,163.59,32.97,32.599999999999994
241,792,398,45,539,94,577,152.13,21.96,22.200000000000003
101,675,901,384,183,839,24,142.3,23.61,25.559999999999995
349,861,872,124,26,864,117,146.91,22.78,24.800000000000004
689,493,856,713,975,291,592,130.29,17.49,16.84
306,817,90,37,785,577,523,158.27,20.34,21.4
541,732,244,109,567,766,102,132.77,22.35,23.959999999999987
956,566,62,563,332,890,577,132.15,21.46,23.239999999999984
184,847,79,247,184,661,255,138.92,19.17,22.04
465,630,716,771,965,403,258,124.11,17.57,16.720000000000002
376,613,406,961,358,569,428,122.26,13.75,15.280000000000001
989,85,384,512,240,996,951,128.18,22.34,24.67999999999999
422,863,765,990,164,425,707,130.76,20.56,20.919999999999995
582,774,593,690,946,529,702,98.72,14.24,14.440000000000001
495,159,658,410,918,908,152,153.31,29.48,27.839999999999986
166,98,509,766,495,938,715,126.53,19.01,18.4
