n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
331,585,144,676,242,737,608,407,860,21,943,181.59,34.05,36.4
322,408,364,787,317,121,120,395,694,877,947,169.2,38.05,37.03999999999998
680,878,457,421,612,10,499,346,561,733,905,177.66,35.84,38.51999999999998
880,999,935,205,16,773,15,967,721,621,704,176.93,34.06,35.28
512,326,381,722,495,897,594,105,626,179,116,180.57,37.24,40.67999999999999
55,455,282,83,560,28,203,254,646,943,76,181.59,43.08,45.439999999999976
61,343,352,393,725,320,946,498,619,162,987,164.16,27.88,30.6
502,754,814,281,643,964,993,913,972,60,488,154.64,29.49,30.55999999999999
857,479,598,780,252,900,824,553,683,802,707,152.13,26.08,25.4
59,526,784,520,665,410,962,459,535,485,897,152.59,29.88,28.880000000000006
822,684,163,120,587,945,629,522,826,713,175,181.76,33.26,34.199999999999996
937,337,753,300,580,559,974,408,639,118,457,166.75,34.28,36.439999999999976
567,187,305,163,766,811,906,918,365,361,541,160.0,26.62,27.08
57,694,409,621,978,281,72,933,252,565,853,172.11,32.96,35.95999999999999
731,979,704,483,448,291,718,965,194,488,561,168.04,28.38,29.119999999999997
67,667,64,644,869,299,69,185,404,103,560,193.96,39.93,41.51999999999999
